gNLrzYEw,2021.03.30,04:35:36,600+5,Normal,0-1,jacobaharris,1309,-6,SKYWAYexpress,1382,+147
9DQKh7rc,2021.04.10,02:05:35,600+5,Normal,1/2-1/2,jacobaharris,1303,+0,pejacob,1295,+0
gAJBrURi,2021.04.10,02:29:28,600+5,Normal,0-1,Chazilefb,1249,-16,jacobaharris,1303,+10
uRJehrDC,2021.04.10,02:53:45,600+5,Normal,0-1,bowchess2021,1198,-4,jacobaharris,1313,+7
snQaqFqj,2021.04.10,16:03:07,600+5,Normal,0-1,K_a_t_a_k_a,1299,-6,jacobaharris,1320,+11
ONIGDNji,2021.04.10,16:40:14,600+5,Normal,1-0,jipouz,1310,+16,jacobaharris,1331,-11
whxdSf3s,2021.04.10,17:01:48,600+5,Normal,1-0,jacobaharris,1320,+12,DmitriyLis25,1413,-109
TwTqTD3K,2021.04.10,17:21:31,600+5,Normal,0-1,jacobaharris,1332,-10,Catoplebas,1339,+6
PWXOJRuF,2021.04.10,17:32:38,600+5,Normal,1-0,Caplux,1287,+15,jacobaharris,1322,-10
98Jlc7A8,2021.04.26,03:44:29,600+5,Normal,1-0,jacobaharris,1312,+16,danacarvey,1415,-7
oMguByrQ,2021.04.28,18:08:23,600+5,Normal,0-1,Andresosorio7,1322,-12,jacobaharris,1328,+12
OV2H4VGI,2021.04.28,18:28:19,600+5,Normal,0-1,cdekk,1338,-6,jacobaharris,1340,+11
cHJanbd5,2021.04.28,18:36:59,600+5,Normal,1-0,jacobaharris,1351,+12,Jf135790,1357,-7
dXOo1GXA,2021.04.28,18:53:12,600+5,Normal,0-1,jacobaharris,1363,-10,JosephElliottA,1381,+6
Yl865IQt,2021.04.28,19:33:45,600+5,Normal,1-0,sara_yz,1348,+16,jacobaharris,1353,-10
6hflfFfp,2021.04.28,19:52:23,600+5,Normal,1-0,DanColocciBR,1371,+8,jacobaharris,1343,-9
L49nmMVb,2021.04.28,20:17:35,600+0,Normal,0-1,freepones,1342,-6,jacobaharris,1334,+11
mJtSaZwJ,2021.04.28,20:27:35,600+0,Normal,1-0,jacobaharris,1345,+8,UnifiedHeron,1274,-4
Nh7brv1L,2021.04.28,20:43:44,600+0,Normal,1-0,Maksim09021987,1448,+5,jacobaharris,1353,-7
Dquzxkkc,2021.04.29,00:05:06,600+0,Normal,0-1,Fisgol,1314,-12,jacobaharris,1346,+9
Fo0zCgEi,2021.04.29,00:20:15,600+0,Normal,1-0,jacobaharris,1355,+6,SilvioSaviani,1243,-4
fAg2VQpo,2021.04.29,00:34:08,600+0,Normal,0-1,CAIAJ185932,1463,-7,jacobaharris,1361,+12
ATe8yUum,2021.04.29,00:42:27,600+0,Normal,0-1,jacobaharris,1373,-8,rlfsw04,1395,+7
yAzK3i8Q,2021.04.29,04:00:39,600+0,Time forfeit,1-0,daksh2412,1366,+6,jacobaharris,1365,-8
Quz2Uq9j,2021.04.29,04:17:33,600+0,Time forfeit,0-1,jacobaharris,1357,-7,jllobom,1384,+5
Uj2Li5aB,2021.04.29,04:38:05,600+0,Normal,0-1,cjmadell,1286,-5,jacobaharris,1350,+7
MFHVZ5CQ,2021.04.29,04:44:36,600+0,Normal,1-0,jacobaharris,1357,+2,chuchupehuajo,1002,-1
0ylVdNmr,2021.04.29,04:54:38,600+0,Normal,0-1,miriam2018,1469,-7,jacobaharris,1359,+10
zN7vccuX,2021.05.07,00:08:58,600+0,Normal,0-1,Nat_the_rat2,1346,-6,jacobaharris,1369,+9
3K4YCTIc,2021.05.07,00:23:32,600+0,Normal,1-0,jacobaharris,1378,+9,Robeir,1373,-6
GcGZUhpA,2021.05.07,00:28:08,600+0,Normal,0-1,markkhris1,1213,-3,jacobaharris,1387,+4
yqY1N1X4,2021.05.07,00:37:13,600+0,Normal,0-1,jacobaharris,1391,-9,Achess108,1327,+7
ly6Mas9T,2021.05.07,00:50:46,600+0,Normal,0-1,jacobaharris,1382,-11,xavitoe,1249,+9
j848235a,2021.05.07,01:18:12,600+0,Normal,1-0,jacobaharris,1371,+7,yagoloop,1315,-5
MitNAjfx,2021.05.07,01:28:01,600+0,Normal,1-0,disorcle,1323,+8,jacobaharris,1378,-8
B3auu6i5,2021.05.07,01:36:38,600+0,Normal,0-1,daha1234,1297,-5,jacobaharris,1370,+6
3aT2UWWs,2021.05.07,01:51:01,600+0,Normal,1-0,jacobaharris,1376,+5,ismabat,1256,-4
PqOL2Mb6,2021.05.07,02:10:27,600+0,Normal,1-0,jacobaharris,1381,+6,NgaiYikLiang,1324,-5
Fk47KjTW,2021.05.11,20:00:03,600+0,Normal,1-0,jacobaharris,1387,+9,corentin24,1380,-6
K8JW2a7U,2021.05.11,20:16:21,600+0,Time forfeit,1-0,jacobaharris,1396,+4,YellowPanther21,1254,-5
MZ0A9uiP,2021.05.11,20:36:20,600+0,Normal,0-1,ruslan_r,1464,-7,jacobaharris,1400,+10
mWWRnAwR,2021.05.11,20:49:38,600+0,Normal,0-1,jacobaharris,1410,-8,DirkDjently,1383,+7
2nQzFqxo,2021.05.12,00:00:32,600+0,Normal,0-1,jacobaharris,1402,-7,amintavakkoli,1397,+7
9gHA4gwu,2021.05.12,00:12:53,600+0,Normal,1-0,Martyr_motor,1459,+5,jacobaharris,1395,-6
LRz3i5Qh,2021.05.12,00:31:21,600+0,Normal,1-0,Guillefe,1180,+9,jacobaharris,1389,-10
2FVV6Z2y,2021.05.12,00:34:10,600+0,Normal,0-1,jacobaharris,1379,-10,hidikey,1208,+12
qvaRvokP,2021.05.12,00:54:02,600+0,Normal,1-0,cory109,1363,+6,jacobaharris,1369,-7
fSI9InE5,2021.05.12,01:08:49,600+0,Normal,0-1,jacobaharris,1362,-5,dark_knightttt,1411,+5
oyl3IFYZ,2021.05.12,01:17:35,600+0,Time forfeit,0-1,chove,1307,-5,jacobaharris,1357,+6
